,0
0,0.6341831756252789
1,-0.9570208964423245
2,0.6329193792225261
3,1.0286016568840246
4,-0.9564648373734805
5,-1.7483106208461707
6,-0.15894854259255592
7,-0.9551491972831471
8,0.6333845139527514
9,1.4324093971018927
10,-0.949364091615998
11,1.4247347626155702
12,-0.9598100705801237
13,0.6453901551715303
14,-1.7469008318328996
15,0.24537898798552454
16,0.23794884797652616
17,0.2454226277018564
18,0.2399529711501729
19,-1.746389715998821
20,-0.16098249659871713
21,0.6343462137812342
22,-0.956109669669305
23,-1.7448750982939718
24,0.2379864342707029
25,0.24033942669840505
26,-0.5533018178354414
27,-0.16313801730365332
28,0.23943308506117159
29,-0.15852632408571188
30,-0.15431367681398384
31,-0.9456688706131144
32,0.2365393710607799
33,0.6263911491340217
34,-1.7462821768375483
35,-0.15892735443683514
36,-0.16276267745824818
37,-0.9507395251974461
38,-0.15967443432093945
39,-0.15602781871649876
40,-0.9575507775370927
41,1.4297944128410953
42,1.4278554379602795
43,-0.15961440850119485
44,1.0357782325194314
45,-1.7486216134881118
46,1.030179272880928
47,0.24120968893438466
48,-0.9586507548669796
49,-0.9496466647121796
50,-1.7490963268172806
51,-1.755528712321338
52,1.4343996228049696
53,0.24475772930356374
54,1.4290048609174841
55,0.6307655786707085
56,1.4213556023073743
57,-0.5544073973542831
58,1.4347773220589364
59,1.0255603523164194
60,0.6346427881009566
61,-0.9461854507795673
62,0.6380859085161029
63,-0.9533314514816688
64,-1.737897989508115
65,0.6295618440808782
66,-1.7441633514863286
67,1.4328121907334246
68,-0.958142764900463
69,0.6327881079776907
70,1.426805676025101
71,1.043008493523288
72,-1.7465571390617212
73,0.6343756733290494
74,0.6325458687974279
75,1.0422328235078233
76,1.0399242668493873
77,0.23442355054217243
78,0.23492551929837605
79,1.4310159576578343
80,0.23887192412539063
81,1.4301308927525713
82,-0.9554949945299036
83,-1.7536377841328261
84,1.0323884199879358
85,1.0278666978954023
86,-0.14809665025165616
87,-0.9516803930858188
88,-0.15761694999499012
89,-0.15699048265818738
90,-0.5581184941048454
91,1.0326896525155669
92,0.23362093374904583
93,0.2381816654133198
94,-0.15673746069308883
95,0.23829606116229202
96,1.0204231309935172
97,-0.15633814782835131
98,-1.7492951361868003
99,1.4326717425856266
